shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_truncate_load_fct_grp_policy_r_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_MERGE_UPDATE_FCT_GRP_POLICY_R,,False,,FCT_GRP_POLICY_R,,,"This shell script merges data into FCT_GRP_POLICY_R
Change log:"
edw_grp_truncate_load_fct_rpt_eoi_history_r_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,FCT_RPT_EOI_HISTORY_R_MV_TBL,,,This shell script truncates and reloads the table FCT_RPT_EOI_HISTORY_R_MV_TBL
edw_grp_truncate_load_fct_rpt_eoi_history_summ_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,FCT_RPT_EOI_HISTORY_SUMM_MV_TBL,,,This shell script truncates and reloads the table FCT_RPT_EOI_HISTORY_SUMM_MV_TBL
edw_grp_truncate_load_lg_reserves_max_reserve_val_date_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,LG_RESERVES_MAX_RESERVE_VAL_DATE_MV_TBL,,,"This shell script truncates and reloads the table lg_reserves_max_reserve_val_date_tbl
Change log:"
edw_grp_truncate_load_mvw_product_sk_lookup_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,MVW_PRODUCT_SK_LOOKUP_TBL,,,"This shell script truncates and reloads the table mvw_product_sk_lookup_tbl
Change log:"
edw_grp_truncate_load_reinsurance_ceded_reserve_vw.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_REFRESH_REINSURANCE_CEDED_RESERVE_VW,,False,,REINSURANCE_CEDED_RESERVE_VW,,,"This shell script truncates and reloads the table CLAIM_TIER_WFAM_MV_TBL
Change log:"
edw_grp_truncate_load_reinsurance_ceded_reserve_vw_tbl.sh,DIRECT_PKG_MAIN_CALL,PACKAGE,ATOMIC,PKG_GRP_REFRESH_REINSURANCE_CEDED_RESERVE,main,False,,REINSURANCE_CEDED_RESERVE_VW,,,This shell script truncates and reloads the table REINSURANCE_CEDED_RESERVE
edw_grp_truncate_load_reinsurance_paid_claims_vw_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_REFRESH_REINSURANCE_LTD_PAID_CLAIMS_VW,,False,,REINSURANCE_LTD_PAID_CLAIMS_VW,,,This shell script truncates and reloads the table REINSURANCE_LTD_PAID_CLAIMS
edw_grp_truncate_load_reinsurance_premium_ltd_vpl_mv.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_REFRESH_GRP_M_VIEW_TBLS,,False,,REINSURANCE_PREMIUM_LTD_VPL_MV,,,"This shell script truncates and reloads the table CLAIM_TIER_WFAM_MV_TBL
Change log:"
edw_grp_truncate_load_reinsurance_premium_vw_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_REFRESH_REINSURANCE_PREMIUM_VW,,False,,REINSURANCE_PREMIUM,,,This shell script truncates and reloads the table REINSURANCE_PREMIUM used for reports
